t_yr,nearest_event_index,relative_to_entry,relative_to_exit,in_training_window,in_physical_window,in_post_to_physical_end,in_post_fixed,pos_noNN_err,pos_encounterNN_err,pos_gain_instant_pct,vel_noNN_err,vel_encounterNN_err,vel_gain_instant_pct
82.3364672934587,1,-0.2235327065398991,-0.7235327065398849,0,1,0,0,1.4616359188520927,1.4616359188520927,0.0,1.057882202199679,1.057882202199679,0.0
82.35647129425885,1,-0.20352870573974258,-0.7035287057397284,0,1,0,0,1.470030104748729,1.470030104748729,0.0,1.0656163358653736,1.0656163358653736,0.0
82.37647529505901,1,-0.18352470493958606,-0.6835247049395718,0,1,0,0,1.4783427880266726,1.4783427880266726,0.0,1.0733210656181635,1.0733210656181635,0.0
82.39647929585918,1,-0.16352070413941533,-0.6635207041394011,0,1,0,0,1.4865732520111292,1.4865732520111292,0.0,1.0809956644000254,1.0809956644000254,0.0
82.41648329665934,1,-0.1435167033392588,-0.6435167033392446,0,1,0,0,1.4609879904945218,1.4609879904945218,0.0,1.054374295066197,1.054374295066197,0.0
82.4364872974595,1,-0.12351270253910229,-0.6235127025390881,0,1,0,0,1.469339040192524,1.469339040192524,0.0,1.0623015860197755,1.0623015860197755,0.0
82.45649129825965,1,-0.10350870173894577,-0.6035087017389316,0,1,0,0,1.477609314941107,1.477609314941107,0.0,1.0701996945768353,1.0701996945768353,0.0
82.47649529905982,1,-0.08350470093877504,-0.5835047009387608,0,1,0,0,1.4857980599141305,1.4857980599141305,0.0,1.0780677803967906,1.0780677803967906,0.0
82.49649929985998,1,-0.06350070013861853,-0.5635007001386043,0,1,0,0,1.460141607093533,1.460141607093533,0.0,1.053296336844336,1.053296336844336,0.0
82.51650330066013,1,-0.04349669933846201,-0.5434966993384478,0,1,0,0,1.4684492735896144,1.4684492735896144,0.0,1.0614050959874826,1.0614050959874826,0.0
82.53650730146029,1,-0.02349269853830549,-0.5234926985382913,0,1,0,0,1.4766769267963225,1.4766769267963225,0.0,1.0694850935003197,1.0694850935003197,0.0
82.55651130226046,1,-0.0034886977381347606,-0.5034886977381205,0,1,0,0,1.484823770893399,1.484823770893399,0.0,1.0775353558902108,1.0775353558902108,0.0
82.57651530306062,1,0.016515303062021758,-0.48348469693796403,1,1,0,0,1.459375585552919,1.459375585552919,0.0,1.0559520548545016,1.0559520548545016,0.0
82.59651930386077,1,0.036519303862178276,-0.4634806961378075,1,1,0,0,1.467639981044123,1.467639981044123,0.0,1.0642160872999238,1.0642160872999238,0.0
82.61652330466093,1,0.056523304662334795,-0.443476695337651,1,1,0,0,1.4758251689651325,1.4758251689651325,0.0,1.0724525566394116,1.0724525566394116,0.0
82.6365273054611,1,0.07652730546250552,-0.42347269453748027,1,1,0,0,1.4839303101462709,1.4839303101462709,0.0,1.080660331731075,1.080660331731075,0.0
82.65653130626126,1,0.09653130626266204,-0.40346869373732375,1,1,0,0,1.459183326438945,1.459183326438945,0.0,1.0663237633099316,1.0663237633099316,0.0
82.67653530706141,1,0.11653530706281856,-0.38346469293716723,1,1,0,0,1.4674050989274559,1.4674050989274559,0.0,1.074677626458674,1.074677626458674,0.0
82.69653930786157,1,0.13653930786297508,-0.3634606921370107,1,1,0,0,1.4755485313153338,1.4755485313153338,0.0,1.0830073233551625,1.0830073233551625,0.0
82.71654330866174,1,0.1565433086631458,-0.34345669133684,1,1,0,0,1.4836127395513228,1.4836127395513228,0.0,1.0913115376197227,1.0913115376197227,0.0
82.7365473094619,1,0.17654730946330233,-0.32345269053668346,1,1,0,0,1.4602567764373815,1.4602567764373815,0.0,1.0908689814634545,1.0908689814634545,0.0
82.75655131026205,1,0.19655131026345884,-0.30344868973652694,1,1,0,0,1.4684394242102785,1.4684394242102785,0.0,1.0991941835165535,1.0991941835165535,0.0
82.77655531106221,1,0.21655531106361536,-0.2834446889363704,1,1,0,0,1.4765446584283908,1.4765446584283908,0.0,1.107501784008254,1.107501784008254,0.0
82.79655931186238,1,0.2365593118637861,-0.2634406881361997,1,1,0,0,1.4845715512263662,1.4845715512263662,0.0,1.1157902948705467,1.1157902948705467,0.0
82.81656331266254,1,0.2565633126639426,-0.24343668733604318,1,1,0,0,1.4616078344522008,1.4616078344522008,0.0,1.1170712873639561,1.1170712873639561,0.0
82.8365673134627,1,0.27656731346409913,-0.22343268653588666,1,1,0,0,1.4697680592778606,1.4697680592778606,0.0,1.1253822491400813,1.1253822491400813,0.0
82.85657131426285,1,0.29657131426425565,-0.20342868573573014,1,1,0,0,1.4778516534585928,1.4778516534585928,0.0,1.1336793445666327,1.1336793445666327,0.0
82.87657531506302,1,0.3165753150644264,-0.1834246849355594,1,1,0,0,1.485857651916944,1.485857651916944,0.0,1.1419609934372874,1.1419609934372874,0.0
82.89657931586318,1,0.3365793158645829,-0.1634206841354029,1,1,0,0,1.4595661965238502,1.4595661965238502,0.0,1.1277734313861345,1.1277734313861345,0.0
82.91658331666333,1,0.3565833166647394,-0.14341668333524638,1,1,0,0,1.4677269596940976,1.4677269596940976,0.0,1.1362161495403476,1.1362161495403476,0.0
82.93658731746349,1,0.37658731746489593,-0.12341268253508986,1,1,0,0,1.4758115209531564,1.4758115209531564,0.0,1.1446424628250118,1.1446424628250118,0.0
82.95659131826366,1,0.39659131826506666,-0.10340868173491913,1,1,0,0,1.483818878275451,1.483818878275451,0.0,1.1530507273896209,1.1530507273896209,0.0
