r_AU,F_exact,F_no_nn_softened,F_simon_corrected,c_pred,rel_err_no_nn_softened,rel_err_simon_corrected
1.733719960832864884e-05,3.326918034414987639e+07,6.389150974847841098e+03,2.574977686080359854e+05,4.030234527587890625e+01,9.998079558645943665e-01,9.922601709466726261e-01
1.748690680302143717e-05,3.270197702458115295e+07,6.443763423941420115e+03,2.595949236344016390e+05,4.028622817993164062e+01,9.998029549277984707e-01,9.920617972595580092e-01
1.763790672345132040e-05,3.214444390435011312e+07,6.498832954997348679e+03,2.617047584411531570e+05,4.026950073242187500e+01,9.997978240664440186e-01,9.918584760955924118e-01
1.779021053234052760e-05,3.159641611708171666e+07,6.554363139749416405e+03,2.638304433923389879e+05,4.025264358520507812e+01,9.997925599183318246e-01,9.916499883273246496e-01
1.794382948880171951e-05,3.105773160719311982e+07,6.610357571129120515e+03,2.659710947052447591e+05,4.023550796508789062e+01,9.997871590348343940e-01,9.914362356507825380e-01
1.809877494917028657e-05,3.052823108197287843e+07,6.666819863203606474e+03,2.681280078176817042e+05,4.021827697753906250e+01,9.997816178787004571e-01,9.912170473586328079e-01
1.825505836784389744e-05,3.000775796447688714e+07,6.723753651106995676e+03,2.702979284963089158e+05,4.020045089721679688e+01,9.997759328218033259e-01,9.909923984052295687e-01
1.841269129812925755e-05,2.949615834722755104e+07,6.781162590964853734e+03,2.724824547472737613e+05,4.018226242065429688e+01,9.997701001428342948e-01,9.907621036088963828e-01
1.857168539309622660e-05,2.899328094670217112e+07,6.839050359811619273e+03,2.746839417364945402e+05,4.016404724121093750e+01,9.997641160249375325e-01,9.905259448821456258e-01
1.873205240643913250e-05,2.849897705859782174e+07,6.897420655500709472e+03,2.768987708709128783e+05,4.014526367187500000e+01,9.997579765532875751e-01,9.902839049169529506e-01
1.889380419334589153e-05,2.801310051385775581e+07,6.956277196607262340e+03,2.791305735482167220e+05,4.012643051147460938e+01,9.997516777126056464e-01,9.900357129904227005e-01
1.905695271137425041e-05,2.753550763544869795e+07,7.015623722323033689e+03,2.813761181992497877e+05,4.010707092285156250e+01,9.997452153846152489e-01,9.897813353607103348e-01
1.922151002133580064e-05,2.706605719587443396e+07,7.075463992343427890e+03,2.836361351164391963e+05,4.008728408813476562e+01,9.997385853454332505e-01,9.895205964775810603e-01
1.938748828818756545e-05,2.660461037541387975e+07,7.135801786746326798e+03,2.859136096076992108e+05,4.006748199462890625e+01,9.997317832628985768e-01,9.892532307155333937e-01
1.955489978193131496e-05,2.615103072107109427e+07,7.196640905862519503e+03,2.882038023671546252e+05,4.004698944091796875e+01,9.997248046938332910e-01,9.889792564797480479e-01
1.972375687852061653e-05,2.570518410622524470e+07,7.257985170137433670e+03,2.905131605447422480e+05,4.002669525146484375e+01,9.997176450812356174e-01,9.886982657138648767e-01
1.989407206077573872e-05,2.526693869096842036e+07,7.319838419983978383e+03,2.928354491737350472e+05,4.000572586059570312e+01,9.997102997514059064e-01,9.884103312730003754e-01
2.006585791930644291e-05,2.483616488311965391e+07,7.382204515626190187e+03,2.951726083924879204e+05,3.998434448242187500e+01,9.997027639109996588e-01,9.881152098248023874e-01
2.023912715344279456e-05,2.441273529990354180e+07,7.445087336933455845e+03,2.975281765650906600e+05,3.996302032470703125e+01,9.996950326440083856e-01,9.878125833541370193e-01
2.041389257217379768e-05,2.399652473028268293e+07,7.508490783244948943e+03,2.998942672429271042e+05,3.994068527221679688e+01,9.996871009086674142e-01,9.875025958711233232e-01
2.059016709509455724e-05,2.358741009793128073e+07,7.572418773184212114e+03,3.022763269984956132e+05,3.991806793212890625e+01,9.996789635342860914e-01,9.871848445529419758e-01
2.076796375336118687e-05,2.318527042484107986e+07,7.636875244463307354e+03,3.046784434645622387e+05,3.989569473266601562e+01,9.996706152180013794e-01,9.868589652878008156e-01
2.094729569065420039e-05,2.278998679554718733e+07,7.701864153676497153e+03,3.070901798613965511e+05,3.987218856811523438e+01,9.996620505214517394e-01,9.865252146648282316e-01
2.112817616415014330e-05,2.240144232196400315e+07,7.767389476083005320e+03,3.095213622863175697e+05,3.984882736206054688e+01,9.996532638673686355e-01,9.861829717105831117e-01
2.131061854550165397e-05,2.201952210882056504e+07,7.833455205378636492e+03,3.119673894129163818e+05,3.982500457763671875e+01,9.996442495360859937e-01,9.858322361461264727e-01
