time,rmin_ias15,rmin_noNN,rmin_v4,pair_ias15,pair_noNN,pair_v4,err_noNN,err_v4
2.612522504500900311e+01,9.851463361187948742e-01,9.873833890760002063e-01,9.873833890760002063e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.711248124187603886e-02,1.711248124187603886e-02
2.614522904580916318e+01,9.861353373226932062e-01,9.873833890760002063e-01,9.873833890760002063e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.093654341590226939e-02,2.093654341590226939e-02
2.616523304660932325e+01,9.869757794923630367e-01,9.888136136703026269e-01,9.888136136703026269e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.714169504826299276e-02,1.714169504826299276e-02
2.618523704740948332e+01,9.876676812981298736e-01,9.888136136703026269e-01,9.888136136703026269e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.100992402194149303e-02,2.100992402194149303e-02
2.620524104820964340e+01,9.882110582972805091e-01,9.896512792110950807e-01,9.896512792110950807e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.716082134174302942e-02,1.716082134174302942e-02
2.622524504900980347e+01,9.886059227024350804e-01,9.896512792110950807e-01,9.896512792110950807e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.106779093753280430e-02,2.106779093753280430e-02
2.624524904980996354e+01,9.888522832029431608e-01,9.898964059353230205e-01,9.898964059353230205e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.716965541860619379e-02,1.716965541860619379e-02
2.626525305061012361e+01,9.889501448381644577e-01,9.898964059353230205e-01,9.898964059353230205e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.111019816819032294e-02,2.111019816819032294e-02
2.628525705141028368e+01,9.888995089218413082e-01,9.895489562768781111e-01,9.895489562768781111e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.716803729422624811e-02,1.716803729422624811e-02
2.630526105221044375e+01,9.887003730170923488e-01,9.895489562768781111e-01,9.895489562768781111e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.113719176480646778e-02,2.113719176480646778e-02
