t_yr,ias15_rmin,noNN_rmin,unguarded_rmin,guarded_rmin,ias15_pair,noNN_pair,unguarded_pair,guarded_pair,noNN_err,unguarded_err,guarded_err,unguarded_minus_noNN,guarded_minus_noNN
75.35507101420285,1.0557217104725598,0.9585375338673482,0.7440702087829137,0.700554729845216,0-1,0-2,0-2,1-2,2.130133897176115,0.7910433258562012,1.0480486133179996,-1.3390905713199137,-1.0820852838581154
75.375075015003,1.0575311361990571,0.9615464028629779,0.7463255149680915,0.6843786761211261,0-1,0-2,0-2,1-2,2.1299434347233723,0.781050897123444,1.0517976868286365,-1.3488925375999283,-1.0781457478947358
75.39507901580316,1.0592884972791885,0.964327493569189,0.7486538917148706,0.6684438473135594,0-1,0-2,0-2,1-2,2.1295974590170124,0.771101571755712,1.05551821457063,-1.3584958872613004,-1.0740792444463823
75.41508301660332,1.0609934576087343,0.9668815247827334,0.7510525419351862,0.6527525776137745,0-1,0-2,0-2,1-2,2.129096971325435,0.7611997330923425,1.0592093586377798,-1.3678972382330925,-1.069887612687655
75.43508701740349,1.0626456949272667,0.969209154975262,0.7535186312961787,0.6373069128374873,0-1,0-2,0-2,1-2,2.128442924905319,0.7513497089826715,1.0628703628391705,-1.3770932159226477,-1.0655725620661487
75.45509101820365,1.0642449004780847,0.971310982689313,0.7560492950805191,0.6221086057278586,0-1,0-2,0-2,1-2,2.1276362265403304,0.7415557690481072,1.0665005512802004,-1.3860804574922232,-1.06113567526013
75.4750950190038,1.0657907786814445,0.9731875469110043,0.7586416448248954,0.6071591113053435,0-1,0-2,0-2,1-2,2.1266777379665562,0.7318221224141412,1.0700993269351855,-1.394855615552415,-1.0565784110313707
75.49509901980396,1.0672830468208792,0.9748393274154319,0.7612927747148281,0.5924595822302661,0-1,0-2,0-2,1-2,2.125568277188933,0.7221529158963155,1.0736661702240775,-1.4034153612926175,-1.0519021069648555
75.51510302060413,1.068721434742426,0.9762667450814172,0.7639997677173334,0.578010864145357,0-1,0-2,0-2,1-2,2.1243086196923113,0.7125522326209139,1.077200637605331,-1.4117563870713974,-1.0471079820869804
75.53510702140429,1.0701056845665653,0.9774701621727862,0.7667597014362203,0.5638134909672815,0-1,0-2,0-2,1-2,2.1228994995504347,0.7030240910580354,1.080702360196527,-1.4198754084923992,-1.0421971393539076
